course_id,course_title,course_slug,category_id,category_name,suite_id,icon_url,description,purchase_url,free_trial_url
13,Basic Fire Safety Awareness,basic-fire-safety-awareness-13,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course13.png,"This online fire safety training course is aimed at all employees to assist them in identifying and reducing the risk that fire presents in the workplace. The course provides candidates with a general understanding of basic fire awareness including what should be done in the event of a fire , how to prevent one occurring and the protocol of extinguishing a fire. This course can help to make a safer working environment for everyone in your workplace. This course explains, in brief, why fires occur and what actions you must take to help prevent them starting and the actions you must take when they do. By completing this course you will be making your workplace a safer environment. This course is a variation on the Basic Fire Awareness course that contains information that is specific to employees of care and residential homes.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=13,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
14,Basic Fire Safety Awareness for Care Homes,basic-fire-safety-awareness-for-care-homes-14,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course14.png,"This course explains, in brief, why fires occur and what actions you must take to help prevent them starting and the actions you must take when they do. By completing this course you will be making your workplace a safer environment. This course is a variation on the Basic Fire Awareness course that contains information that is specific to employees of care and residential homes. This course will cover a range of important topics related to mental health conditions that children and young people can experience including the signs of many mental health conditions including ADHD, Depression, Eating Disorders and self harm. You'll learn about symptoms and causes and the actions you can take if you suspect someone may need help.The course also discusses mental health professionals and their roles, along with parents and how they can get involved. Finally you'll learn about practical techniques you can use to help young people or children.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=14,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
15,Fire Extinguisher,fire-extinguisher-15,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course15.png,"The main outcome of this training course is to provide you with the knowledge to carry out the functions of a fire marshal. Please note, this course also contains all of the content in the Basic Fire Awareness and Fire Extinguisher courses. The main outcome of this training course is to provide you with the knowledge to carry out the functions of a fire marshal. Please note, this course also contains all of the content in the Basic Fire Awareness and Fire Extinguisher courses. This course is a variation on the Fire Marshal course that contains information that is specific to employees of care and residential homes.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=15,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=15
16,Fire Marshal for Care Homes,fire-marshal-for-care-homes-16,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course16.png,"The main outcome of this training course is to provide you with the knowledge to carry out the functions of a fire marshal. Please note, this course also contains all of the content in the Basic Fire Awareness and Fire Extinguisher courses. This course is a variation on the Fire Marshal course that contains information that is specific to employees of care and residential homes. This course provides an introduction to the concept of handling information in care settings. At the end of the course you will understand the need for secure handling of information and you will know how to access support if you have any questions regarding access to information. The course will cover the important role confidentiality plays in developing trusting relationships with the people in your care and it will define key terms such as 'need to know' and 'consent'.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=16,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
17,Fire Extinguisher,fire-extinguisher-17,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course17.png,"This course will identify the different types of fire extinguishers that might be installed within your workplace. It will discuss which ones should be used for different types of fires and how you can assess the risk factor involved upon finding a fire in your workplace. At the end of the final module you will be presented with a simulation that will test what you've learnt. The main outcome of this training course is to provide you with the knowledge to carry out the functions of a fire marshal. Please note, this course also contains all of the content in the Basic Fire Awareness and Fire Extinguisher courses.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=17,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
20,Twitter for Business,twitter-for-business-20,2,Business Skills,2,https://videotilehost.com/common/course-icons/course20.png,"Twitter is a social media platform that is used by a wide range of people, from celebrities, who use it to communicate with their fans to companies and brands who can use it to engage their customers and attract new ones. This courses will look in detail at the use of Twitter as part of your marketing activity.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=20,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
22,Sales Skills,sales-skills-22,2,Business Skills,2,https://videotilehost.com/common/course-icons/course22.png,"This course focuses on the anchor point of your digital marketing strategy which is your website or micro-site. Here we'll explore search engine optimisation 'SEO' and how you can use this to drive traffic to your website. This course will start by defining sexual harassment and explaining how protection comes from both employment law and criminal law. You'll see from workplace statistics how widespread and serious the problem is, and how the management response to concerns raised is often poor or non-existent. It also addresses how allegations should be handled, explains the importance of having clear and robust policies and the role line managers tend to take when it comes to dealing with these situations.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=22,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=22
23,Developing A Workplace Mental Health Policy,developing-a-workplace-mental-health-policy-23,4,Mental Health & Wellbeing,4,https://videotilehost.com/common/course-icons/course23.png,"This course is aimed at users of display screen equipment, or DSE as it's often called. DSE is a term that covers a wide range of equipment. If DSE equipment like this is not set up correctly, users are at increased risk from certain disorders. As an employee, you share the responsibility to keep people safe at work. That means undergoing relevant training and ensuring that rules are followed. This course is intended to provide you with the information you needed to understand and spot the signs of drug and alcohol misuse. It covers the legal and social implications for the individual and for your company if you find out an employee is misusing drugs. This course discusses the law, different types of drugs, and policies that can be put in place to protect yourself, your business and your employees.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=23,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=23
24,Assessing Display Screen Equipment,assessing-display-screen-equipment-24,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course24.png,"This course is aimed at companies who employ users of display screen equipment, or DSE as it's often called and is intended to be completed by those who will be assessing the DSE set ups of employees. DSE is a term that covers a wide range of equipment. If equipment like this is not set up correctly, users are at increased risk from certain disorders. The course will start by identifying the three main categories of reversing accidents and the crucial role of the banksman.You'll learn about the role of management in preventing these types of accidents particularly using Safe systems of work and PPE. You'll get an overview of legislation that applies to banksman activities and also the rules that apply to drivers so they can work safely together. Finally the course covers vehicle safety checks and the hand signals used by banksmen.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=24,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
25,CDM Awareness,cdm-awareness-25,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course25.png,"This course covers what you need to know about the Control of Substances Hazardous to Health. It's aimed at anyone who is exposed to Substances Hazardous to Health at work, as well as line managers with responsibility for such people. This course explores the risk to workers caused by the Covid-19 virus and covers actions that can be taken by employers and employees to protect themselves and each other as they return to work. The content of this course is based on the latest information from the UK government and the NHS. It covers information about the virus, risk assessments and personal safety, along with how to make changes to the daily work environment to address these risks.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=25,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=25
26,Abrasive Wheels,abrasive-wheels-26,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course26.png,"This course is aimed at anyone who uses abrasive wheels, or employs people who use abrasive wheels as part of their work. It covers different types of abrasive wheel, safety in their use and how to identify the type of wheel. This course is intended to give you an overview of how the National Food Hygiene Rating Scheme works, what the scoring criteria are and how these are assessed by the inspectors, the appeals process, the Safer Food Better Business management system, E-Coli and concludes with some practical advice for ensuring your premises gets the best score possible.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=26,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
27,Supervising Food Safety - Level 3,supervising-food-safety-level-3-27,5,Hospitality,5,https://videotilehost.com/common/course-icons/course27.png,"This course is aimed at anyone who undertakes work at height, or who employs people who regularly work at height. It covers what constitutes work at height, the safety issues, and how to assess and reduce some of the risks.Important note: Please note that this is an awareness course only, if your duties include working at height you will also need further practical training, you can get in touch with us to arrange this. This course will cover the legislation associated with working in confined spaces. What constitutes a confined space, the potential hazards, safe operating procedures, and emergency procedures and rescue.Important note: This is an awareness course only, designed for people who need to be aware of the hazards and risks of confined space working but are not required to enter a confined space. If you are required to perform any work activity in, or in the proximity of, a confined space then you will also need to have an 'approved' standard of practical training at the 'appropriate' level.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=27,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=27
28,Emergency First Aid at Work - Online Annual Refresher,emergency-first-aid-at-work-online-annual-refresher-28,2,Business Skills,2,https://videotilehost.com/common/course-icons/course28.png,"This Emergency aid course will highlight some of the most common situations that you might come across and the actions that you can take to help.In the most serious situations a first aider's role will be to assess the scene so that accurate information can be passed to Emergency services and then to act appropriately to try and increase the patients odds of survival. End of life care should be several things, compassionate, cost effective, holistic and effective. There are usually a number of people involved in the care of people at the end of their life and it can be a difficult process to be part of. This course will provide you with information about what to expect, how to handle some of the emotions associated with this time, and working with the other professionals involved in end of life care.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=28,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
29,Safeguarding Children,safeguarding-children-29,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course29.png,"Safeguarding is a term that describes the work and processes undertaken to minimise and manage the risks involved to vulnerable children. During this training video you will hear many facts, figures and details surrounding the risk to children, the types of abuse suffered, how to recognise the signs of abuse and key safeguarding legislations put in place to minimise the abuse of children. In this course you'll learn about the prevalence and different types of 'sharps litter' that can be found in the UK. It then covers the primary and secondary risks from sharps including some of the common blood borne viruses. It also covers the responsibilities of employers, the equipment needed and the effectiveness of PPE. Finally, it'll cover how to report discarded sharps and the correct procedures to follow if you're unlucky enough to receive a sharps injury.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=29,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
30,"Reporting of Injuries, Diseases and Dangerous Occurrences Regulations 2013 - RIDDOR",reporting-of-injuries-diseases-and-dangerous-occurrences-regulations-2013-riddor-30,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course30.png,"This course is aimed at anyone who has a duty of care for, or comes into contact with, adults in need of care and support, either as a paid professional or a volunteer. You and the organisation you work for must take appropriate measures for the protection of adults in your care, while still ensuring they are supported and empowered. This course can bring you one step closer to being able to do this. Safeguarding is a term that describes the work and processes undertaken to minimise and manage the risks involved to vulnerable children. During this training video you will hear many facts, figures and details surrounding the risk to children, the types of abuse suffered, how to recognise the signs of abuse and key safeguarding legislations put in place to minimise the abuse of children.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=30,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=30
31,Working in Confined Spaces,working-in-confined-spaces-31,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course31.png,"Working safely is in the interest and concern of all staff, both employers and employees. Health and safety is one of the few areas where the law places specific duties specifically on employees so a knowledge of where this applies and how to ensure that it is adhered to is vital to protect individuals and businesses.The course covers a wide range of topics including fire safety, asbestos awareness, working at height, COSHH, PPE and electricity. It also covers schemes for improving safety performance and methods of protecting the environment. This course is an introduction to the private security industry, and the main services it covers. It discusses the body which regulates the industry, highlights the standards of behaviour expected from security operatives, and the law as it relates to the industry. It includes an in-depth look at health and safety issues, the concept of duty of care and examines a range of emergency situations which security operatives might be involved with. The course also covers communication skills, including tips for effective radio communication and instructions on how to use the phonetic alphabet.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=31,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=31
34,Conflict Resolution in the Workplace,conflict-resolution-in-the-workplace-34,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course34.png,"This course will consider what conflict is as well as its impact and role in the workplace. We will consider some of the triggers for workplace conflict and how it develops before looking at a number of different ways of managing it. Customer service is the act of taking care of the customer's needs by providing and delivering professional, helpful, high quality service and assistance before, during, and after the customer's requirements are met. This course will start by making it very clear exactly what we mean by customer service, and why it's so vital and then go into detail about some of the ways you can improve the customer service provided by your organisation.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=34,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
35,"Equality, Diversity and Discrimination",equality-diversity-and-discrimination-35,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course35.png,"In this course we're going to be discussing two topics, 'equality' and diversity' and how they relate to one another. Understanding this will help us to identify and address issues of unfairness and discrimination in the workplace. The main outcome of this training course is to provide you with the knowledge to carry out the functions of a fire marshal. Please note, this course also contains all of the content in the Basic Fire Awareness and Fire Extinguisher courses. This course is a variation on the Fire Marshal course that contains information that is specific to employees of care and residential homes.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=35,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
36,Stress Management,stress-management-36,4,Mental Health & Wellbeing,4,https://videotilehost.com/common/course-icons/course36.png,"Stress is a real problem for both organisations and their employees. It accounts for a significant proportion of work related illness each year. Being aware of the signs of stress, some of the triggers and how to manage them can make a real difference to your wellbeing and that of people around you. This course will cover an introduction to stress and why it's a problem, some of the causes of stress and some ways to minimise the risk of stress. This course will look at supervising stress and mental health at work and show you how to create a good mental health culture in your workplace. It starts by examining the negative effects of poor mental health and considers the benefits of intervention by employers. You'll learn about the six main areas that can lead to work- related stress and discover how to recognise when individuals are at risk of stress. Finally you will learn how to promote a good mental health culture within your workplace.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=36,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
37,TikTok for Business,tiktok-for-business-37,2,Business Skills,2,https://videotilehost.com/common/course-icons/course37.png,"More often than not, the people who excel in their job, or are high achievers manage their time effectively, in a way that makes them work in a more efficient manner. This course has been designed to ensure you have the techniques to improve your efficiency, output and ability to function more effectively - whether in your ordinary day or when deadlines loom and the pressure is building. Twitter is a social media platform that is used by a wide range of people, from celebrities, who use it to communicate with their fans to companies and brands who can use it to engage their customers and attract new ones. This courses will look in detail at the use of Twitter as part of your marketing activity.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=37,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=37
38,Preparing for a Job Interview,preparing-for-a-job-interview-38,2,Business Skills,2,https://videotilehost.com/common/course-icons/course38.png,"Giving a successful presentation can be one of the hardest parts of many people's jobs. This course covers the common mistakes people make when preparing for and giving a presentation so you can avoid these, as well as going over good practice and providing some practical advice that you can put to good use the next time you have a big presentation to make. This course covers a range of problems that occur in the workplace-  and how they can be recognised, controlled and solved. You'll learn about the three main areas in which problems occur and how personalities can clash because of poor communication and differences of opinion. There will be information on how issues can be solved in a professional manner and finally discuss arbitration, negotiation and compromise which can bring resolution to the workplace making it a better environment for everyone.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=38,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=38
39,Introduction to Generative AI,introduction-to-generative-ai-39,2,Business Skills,2,https://videotilehost.com/common/course-icons/course39.png,"A leader doesn't necessarily have to be a 'manager', but it's difficult to see how a manager could be truly effective without having at least some leadership skills. This course will introduce you to some of the important techniques and theories that can help you to improve your leadership skills and be more effective in your role. This course is aimed at anyone that works on licensed premises and gives them an overview of key topics relating to UK licencing law, responsibilities and penalties for breaching these. It also looks in detail at the issue of age verification including an interactive element to support learning in this area.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=39,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=39
40,Negotiation,negotiation-40,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course40.png,"This course covers the basics of what constitutes a negotiation, the key stages of a negotiation, skills you can apply to your negotiations and some practical advice so you can bring all of this together and become a more effective negotiator. This course aims to help you write effective objectives that deliver results. It covers the importance of goals and objectives and why we need them, the barriers to you achieving your objectives and how to overcome them, what SMART objectives are and how to write and identify them and concludes with some tips for successful objective setting.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=40,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
41,Problem Solving in a Workplace,problem-solving-in-a-workplace-41,2,Business Skills,2,https://videotilehost.com/common/course-icons/course41.png,"The effective management of projects is an essential skill in many workplaces. Correct control of stages and different aspects of projects helps to increase the chances of projects being successful. This course covers the basic principles of project management and covers some of the tools and techniques you can employ to improve your project management skills. The course starts with the basic rules for sales people. It covers cold calling, how to deal with gatekeepers and takes you through a typical face-to-face meeting. It then discusses how you can sell by stressing the results prospects can expect if they buy, and how best to play to their emotions. It then finishes off by covering negotiations and how to avoid them and includes some methods for closing a sale.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=41,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=41
42,Conflict Resolution in the Workplace,conflict-resolution-in-the-workplace-42,2,Business Skills,2,https://videotilehost.com/common/course-icons/course42.png,"Customer service is the act of taking care of the customer's needs by providing and delivering professional, helpful, high quality service and assistance before, during, and after the customer's requirements are met. This course will start by making it very clear exactly what we mean by customer service, and why it's so vital and then go into detail about some of the ways you can improve the customer service provided by your organisation. Employees, managers and directors should all have a good understanding of the threat posed by cyber-attacks and the importance of guarding against data breaches. This short course will explain why cyber attacks and data breaches happen and provide practical advice on how to set up effective defences.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=42,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=42
43,Developing Teamwork,developing-teamwork-43,2,Business Skills,2,https://videotilehost.com/common/course-icons/course43.png,"The aims of the disciplinary procedure are to provide a framework within which managers can work with employees to maintain satisfactory standards of conduct and to encourage improvement when necessary. This course covers the aims of the disciplinary procedure, penalties including investigations, allegations and suspensions, procedures for carrying out hearings, and appeals. This course is intended to provide you with the information you needed to understand and spot the signs of drug and alcohol misuse. It covers the legal and social implications for the individual and for your company if you find out an employee is misusing drugs. This course discusses the law, different types of drugs, and policies that can be put in place to protect yourself, your business and your employees.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=43,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=43
44,Alcohol Personal Licence Holder,alcohol-personal-licence-holder-44,5,Hospitality,5,https://videotilehost.com/common/course-icons/course44.png,"This course covers the commitments that should be laid out in your company's anti-harassment and bullying policy so as to comply with UK law. It explains the differences between harassment and bullying, the steps that can be taken if either of these occur in or out of work, and some case studies to illustrate the points covered throughout the course. This course examines bribery and the legislation, measures and procedures that can uncover, control and reduce the impact of this criminal activity. This information is broken down into the following sections; Why corruption and bribery occur, The UK Bribery Act, Anti-bribery policies, anti-bribery management systems and how to deal with bribery in the workplace.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=44,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=44
45,Drug and Alcohol Awareness,drug-and-alcohol-awareness-45,5,Hospitality,5,https://videotilehost.com/common/course-icons/course45.png,"This course will start with the essentials - defining exactly what we mean by delegation and why it's so important. It then goes into details about the elements of delegation, overcoming the barriers to delegation, how you can choose which tasks to delegate and who to, the process of delegation and much more. This online course aims to increase your awareness of major environmental issues and provide an introduction to environmental management systems. It starts by defining important terms and identifying key issues the world is facing.You'll learn about environmental impacts, and the course will look at the issue of global climate change. There's also information on environmental laws and corporate and personal responsibilities.The course covers waste management, water resource management and oil storage.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=45,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=45
46,Introduction to the Safe Handling of Medicines,introduction-to-the-safe-handling-of-medicines-46,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course46.png,"This Introduction to the Safe Handling of Medicines course will start by explaining the key terminology used when handling medicines. It then goes into detail about the roles of the people involved, some of the different groups of medicines, providing different levels of support to patients, infection control, label interpretation and much more. This course will start by giving you an overview of some of the common types and causes of learning disabilities and how they affect people. It will touch on how a person centred approach to care will get the best results and look at how management must perform, and at the needs of the individual. I will also discuss overcoming the stigma attached to learning disabilities and much more.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=46,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
47,Infection Control,infection-control-47,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course47.png,"This course will start by defining infection prevention and control and explaining the impact of good and bad infection control. It then goes into detail about the legislation that applies to infection control, the different types of microorganisms, how bacteria are transmitted, the chain of infection, and much more. This course aims to provide a gentle introduction to the expectations of the Early Years Foundation Stage and it can also act as a refresher for those wanting to update their knowledge. It will introduce you to some of the key documents and legislation that relate to Early Years providers, the process for registering with Ofsted and the various policies and procedures that need to be in place. It also covers learning and development requirements, how to observe and assess the progress of children in your care and the safeguarding and welfare requirements laid out in the EYFS Framework.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=47,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=26
48,"Lock Out, Tag Out (LOTO)",lock-out-tag-out-loto-48,1,Health & Safety,1,https://videotilehost.com/common/course-icons/course48.png,"This course will start by introducing the learning outcomes and role of the lockdown officer, then discuss some of the likely reasons for a lockdown, go over some of the steps you can take to prepare your school for lockdown as well as what to do in the event of a lockdown taking place. This course explains the key elements, procedures and activities involved in successful Occupational  Health and Safety Management in the workplace. The course show how professional Occupational Health and Safety Management benefits individuals and organisations.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=48,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=48
49,The Care Certificate,the-care-certificate-49,3,Health & Social Care,3,https://videotilehost.com/common/course-icons/course49.png,"This course will define social care and talk about why people choose it as a career and what its goals and objectives are. It will also cover job descriptions, person centred care, understanding code of practices and the basics of government legislation. Finally it will touch on dealing with conflicts at work. The course will start by looking at the way standards are set, monitored and regulated for social care organisations and workers throughout the UK. It then goes on to cover the codes of practice and legislation, reflecting on your work to ensure continued improvement, communication, feedback and much more.",https://www.videotilehost.com/hamptonsafety/purchaseCourse.php?nid=49,https://www.videotilehost.com/hamptonsafety/freeTrial.php?trial=49
